iter	Passed	Remaining
0	143	143766
1	148	73894
2	151	50489
3	155	38696
4	159	31767
5	163	27003
6	167	23707
7	171	21267
8	175	19368
9	179	17801
10	183	16499
11	186	15373
12	192	14613
13	196	13833
14	200	13142
15	203	12501
16	207	11980
17	210	11504
18	214	11056
19	216	10606
20	218	10180
21	220	9789
22	222	9448
23	225	9157
24	226	8843
25	228	8550
26	230	8290
27	231	8034
28	232	7794
29	234	7570
30	236	7386
31	237	7197
32	239	7015
33	240	6843
34	242	6679
35	243	6518
36	244	6369
37	246	6228
38	247	6110
39	249	5995
40	251	5877
41	252	5761
42	253	5651
43	255	5545
44	256	5445
45	258	5351
46	260	5274
47	261	5194
48	263	5108
49	264	5029
50	266	4952
51	267	4877
52	268	4805
53	270	4738
54	272	4685
55	274	4626
56	275	4564
57	277	4500
58	278	4439
59	279	4379
60	280	4322
61	282	4267
62	283	4217
63	285	4177
64	287	4133
65	288	4083
66	290	4039
67	290	3986
68	292	3940
69	293	3895
70	294	3851
71	295	3811
72	296	3771
73	298	3740
74	300	3704
75	301	3667
76	302	3630
77	304	3594
78	305	3558
79	306	3524
80	307	3490
81	308	3457
82	310	3431
83	311	3402
84	312	3368
85	314	3337
86	314	3302
87	315	3274
88	317	3245
89	318	3218
90	319	3191
91	320	3165
92	322	3142
93	324	3123
94	325	3101
95	326	3077
96	328	3053
97	329	3031
98	330	3010
99	332	2988
100	333	2966
101	333	2939
102	335	2923
103	337	2906
104	338	2887
105	340	2868
106	341	2849
107	342	2829
108	343	2809
109	345	2791
110	346	2773
111	347	2756
112	349	2742
113	351	2728
114	352	2710
115	353	2691
116	354	2674
117	355	2657
118	356	2639
119	357	2623
120	359	2608
121	360	2593
122	361	2574
123	362	2562
124	364	2551
125	365	2536
126	366	2522
127	367	2505
128	369	2491
129	370	2478
130	371	2464
131	372	2450
132	374	2439
133	375	2428
134	377	2416
135	378	2404
136	379	2390
137	380	2376
138	381	2364
139	382	2352
140	384	2340
141	385	2328
142	387	2321
143	390	2321
144	391	2310
145	393	2302
146	395	2292
147	396	2281
148	397	2270
149	399	2261
150	400	2253
151	402	2245
152	403	2234
153	404	2224
154	405	2213
155	407	2202
156	408	2192
157	409	2182
158	410	2173
159	412	2164
160	415	2163
161	416	2156
162	419	2153
163	420	2144
164	422	2139
165	424	2130
166	425	2124
167	428	2119
168	429	2112
169	431	2104
170	432	2095
171	433	2086
172	434	2077
173	435	2069
174	437	2061
175	439	2056
176	441	2052
177	442	2043
178	443	2035
179	444	2026
180	445	2016
181	446	2008
182	448	2000
183	449	1992
184	450	1984
185	452	1980
186	454	1974
187	455	1966
188	456	1958
189	457	1951
190	459	1946
191	460	1938
192	461	1930
193	462	1923
194	464	1916
195	466	1911
196	467	1907
197	469	1900
198	470	1893
199	471	1885
200	472	1878
201	473	1871
202	474	1864
203	476	1857
204	477	1851
205	479	1846
206	480	1841
207	481	1834
208	482	1827
209	484	1822
210	485	1815
211	486	1808
212	487	1802
213	489	1796
214	490	1791
215	492	1787
216	493	1782
217	494	1775
218	496	1769
219	497	1763
220	498	1757
221	499	1751
222	501	1746
223	502	1742
224	505	1740
225	506	1736
226	508	1730
227	509	1725
228	510	1719
229	512	1714
230	513	1709
231	514	1704
232	517	1702
233	518	1697
234	519	1692
235	521	1688
236	522	1683
237	524	1677
238	525	1672
239	526	1667
240	527	1662
241	529	1658
242	531	1655
243	532	1649
244	533	1644
245	534	1639
246	536	1634
247	537	1629
248	538	1624
249	539	1618
250	540	1613
251	542	1610
252	543	1605
253	545	1600
254	546	1596
255	547	1591
256	548	1586
257	550	1582
258	551	1577
259	552	1572
260	553	1567
261	555	1563
262	556	1560
263	558	1556
264	559	1551
265	560	1545
266	561	1541
267	562	1537
268	563	1532
269	565	1528
270	566	1523
271	568	1521
272	569	1517
273	570	1512
274	572	1508
275	573	1503
276	574	1499
277	575	1494
278	576	1490
279	577	1485
280	579	1481
281	580	1477
282	582	1474
283	583	1471
284	584	1467
285	586	1463
286	587	1458
287	588	1454
288	589	1450
289	590	1446
290	592	1442
291	593	1439
292	595	1436
293	596	1433
294	598	1429
295	599	1425
296	600	1421
297	601	1417
298	602	1413
299	603	1409
300	605	1406
301	607	1403
302	608	1400
303	609	1396
304	611	1392
305	612	1388
306	613	1384
307	614	1380
308	615	1377
309	617	1373
310	618	1369
311	620	1367
312	621	1364
313	622	1360
314	623	1356
315	625	1353
316	626	1349
317	627	1345
318	628	1341
319	629	1338
320	630	1334
321	632	1332
322	634	1329
323	635	1325
324	636	1322
325	637	1318
326	638	1314
327	640	1311
328	641	1307
329	642	1304
330	643	1300
331	645	1297
332	646	1295
333	648	1292
334	649	1288
335	650	1285
336	651	1281
337	652	1278
338	653	1275
339	655	1271
340	656	1268
341	658	1266
342	659	1263
343	661	1260
344	662	1257
345	663	1253
346	664	1250
347	665	1247
348	667	1244
349	668	1240
350	669	1237
351	671	1235
352	672	1232
353	673	1229
354	674	1226
355	676	1223
356	677	1220
357	678	1217
358	679	1214
359	681	1210
360	682	1207
361	684	1206
362	685	1203
363	686	1200
364	687	1196
365	689	1193
366	690	1190
367	691	1187
368	692	1184
369	693	1181
370	695	1178
371	696	1175
372	698	1173
373	699	1170
374	700	1167
375	702	1165
376	703	1162
377	704	1159
378	705	1156
379	707	1153
380	708	1151
381	710	1148
382	711	1146
383	712	1143
384	714	1140
385	715	1137
386	716	1134
387	717	1131
388	718	1129
389	720	1126
390	721	1123
391	723	1122
392	725	1120
393	726	1117
394	727	1114
395	728	1111
396	729	1108
397	731	1106
398	732	1103
399	733	1100
400	735	1097
401	736	1096
402	738	1093
403	739	1091
404	740	1088
405	742	1085
406	743	1083
407	744	1080
408	745	1077
409	747	1075
410	748	1073
411	750	1070
412	752	1068
413	753	1066
414	754	1064
415	755	1061
416	757	1058
417	758	1056
418	760	1054
419	761	1052
420	763	1050
421	764	1047
422	766	1045
423	767	1042
424	768	1039
425	769	1037
426	770	1034
427	772	1031
428	773	1029
429	775	1027
430	776	1025
431	777	1022
432	778	1020
433	780	1017
434	781	1014
435	782	1012
436	783	1009
437	784	1007
438	786	1004
439	787	1002
440	789	1000
441	790	998
442	792	995
443	793	993
444	794	990
445	795	988
446	796	985
447	797	983
448	799	980
449	800	978
450	803	977
451	804	975
452	805	972
453	806	970
454	807	967
455	808	964
456	810	962
457	811	960
458	812	957
459	814	955
460	815	953
461	817	951
462	818	949
463	819	946
464	820	944
465	821	941
466	823	939
467	824	937
468	825	934
469	827	933
470	828	931
471	830	928
472	831	926
473	832	923
474	833	921
475	834	919
476	836	916
477	837	914
478	838	912
479	840	910
480	842	908
481	843	906
482	844	904
483	845	901
484	847	899
485	848	897
486	849	894
487	850	892
488	851	890
489	854	889
490	856	887
491	857	885
492	858	883
493	859	880
494	861	878
495	862	876
496	863	873
497	864	871
498	866	869
499	867	867
500	869	865
501	870	863
502	871	861
503	872	859
504	873	856
505	875	854
506	876	852
507	878	850
508	879	848
509	881	847
510	882	844
511	884	842
512	885	840
513	886	838
514	887	836
515	888	833
516	890	831
517	891	829
518	893	827
519	894	825
520	895	823
521	896	821
522	898	819
523	899	817
524	900	814
525	901	812
526	902	810
527	904	808
528	905	806
529	907	804
530	908	802
531	909	800
532	911	798
533	912	795
534	913	793
535	914	791
536	915	789
537	916	787
538	918	785
539	920	783
540	921	781
541	922	779
542	923	777
543	925	775
544	926	773
545	927	771
546	928	768
547	929	766
548	931	764
549	932	763
550	934	761
551	935	759
552	936	756
553	937	754
554	938	752
555	940	750
556	941	748
557	942	746
558	943	744
559	945	742
560	946	740
561	947	738
562	949	736
563	950	734
564	951	732
565	952	730
566	953	728
567	955	726
568	956	724
569	958	722
570	959	720
571	960	718
572	961	716
573	962	714
574	964	712
575	965	710
576	966	708
577	968	706
578	969	705
579	971	703
580	972	701
581	973	699
582	974	697
583	976	695
584	977	693
585	978	691
586	979	689
587	981	687
588	983	685
589	984	684
590	989	685
591	991	683
592	993	681
593	994	680
594	996	678
595	1010	684
596	1011	683
597	1013	681
598	1014	679
599	1016	677
600	1017	675
601	1019	673
602	1020	672
603	1023	670
604	1024	669
605	1026	667
606	1029	666
607	1030	664
608	1032	662
609	1033	660
610	1034	658
611	1035	656
612	1037	654
613	1038	652
614	1039	650
615	1041	649
616	1048	650
617	1051	649
618	1052	647
619	1055	646
620	1059	646
621	1060	644
622	1061	642
623	1063	640
624	1064	638
625	1065	636
626	1066	634
627	1068	633
628	1070	631
629	1071	629
630	1072	627
631	1073	625
632	1074	623
633	1076	621
634	1077	619
635	1078	617
636	1079	615
637	1081	613
638	1083	612
639	1084	610
640	1085	608
641	1086	606
642	1088	604
643	1089	602
644	1090	600
645	1091	598
646	1092	596
647	1094	594
648	1096	592
649	1097	590
650	1098	588
651	1099	586
652	1100	584
653	1102	583
654	1103	581
655	1104	579
656	1105	577
657	1107	575
658	1108	573
659	1109	571
660	1111	569
661	1112	567
662	1113	566
663	1114	564
664	1115	562
665	1116	560
666	1118	558
667	1119	556
668	1121	554
669	1122	552
670	1123	550
671	1124	549
672	1126	547
673	1127	545
674	1128	543
675	1129	541
676	1130	539
677	1132	537
678	1133	536
679	1135	534
680	1136	532
681	1137	530
682	1138	528
683	1140	526
684	1141	524
685	1142	522
686	1143	520
687	1144	519
688	1146	517
689	1148	515
690	1149	513
691	1150	511
692	1151	510
693	1152	508
694	1153	506
695	1154	504
696	1156	502
697	1157	500
698	1159	499
699	1160	497
700	1162	495
701	1163	493
702	1164	491
703	1165	490
704	1166	488
705	1167	486
706	1168	484
707	1170	482
708	1172	481
709	1173	479
710	1174	477
711	1175	475
712	1176	473
713	1178	471
714	1179	470
715	1180	468
716	1182	466
717	1183	464
718	1185	463
719	1187	461
720	1188	459
721	1189	458
722	1190	456
723	1192	454
724	1193	452
