iter	Passed	Remaining
0	3	3521
1	7	3666
2	11	3820
3	15	3786
4	19	3796
5	22	3750
6	26	3776
7	30	3793
8	34	3752
9	37	3688
10	40	3683
11	44	3656
12	47	3572
13	49	3488
14	51	3357
15	53	3264
16	55	3184
17	56	3104
18	58	3021
19	59	2933
20	61	2859
21	62	2782
22	63	2687
23	63	2596
24	64	2514
25	65	2438
26	65	2367
27	66	2306
28	67	2250
29	67	2195
30	68	2147
31	69	2103
32	70	2058
33	71	2017
34	71	1976
35	72	1936
36	72	1898
37	73	1862
38	74	1827
39	74	1794
40	75	1763
41	75	1733
42	76	1704
43	77	1677
44	77	1651
45	78	1627
46	79	1603
47	79	1580
48	80	1559
49	81	1542
50	81	1525
51	82	1508
52	83	1489
53	84	1471
54	84	1455
55	85	1438
56	85	1422
57	86	1407
58	87	1392
59	88	1381
60	88	1368
61	89	1353
62	90	1339
63	90	1326
64	91	1313
65	91	1301
66	92	1288
67	93	1276
68	93	1265
69	94	1254
70	95	1243
71	95	1234
72	96	1225
73	97	1216
74	97	1206
75	98	1197
76	99	1188
77	99	1180
78	100	1172
79	101	1164
80	101	1156
81	102	1148
82	102	1137
83	103	1129
84	104	1122
85	104	1114
86	105	1106
87	106	1099
88	106	1092
89	107	1085
90	108	1079
91	108	1072
92	109	1065
93	110	1060
94	110	1054
95	111	1049
96	112	1043
97	112	1038
98	113	1034
99	114	1030
100	115	1024
101	115	1018
102	116	1013
103	116	1007
104	117	1002
105	118	996
106	118	991
107	119	986
108	120	981
109	120	976
110	121	971
111	121	966
112	122	961
113	123	956
114	123	952
115	124	947
116	124	942
117	125	939
118	126	935
119	127	932
120	128	930
121	128	926
122	129	922
123	129	918
124	130	914
125	131	910
126	131	905
127	132	901
128	132	897
129	133	893
130	134	890
131	134	886
132	135	882
133	136	879
134	136	875
135	137	872
136	137	868
137	138	865
138	139	861
139	140	860
140	140	857
141	141	853
142	142	851
143	142	848
144	143	846
145	144	843
146	144	840
147	145	837
148	146	834
149	146	831
150	147	828
151	148	825
152	148	822
153	149	819
154	149	817
155	150	814
156	151	811
157	151	808
158	152	805
159	152	803
160	153	799
161	154	796
162	154	794
163	155	792
164	156	791
165	157	788
166	157	786
167	158	784
168	158	781
169	159	779
170	160	776
171	160	774
172	161	771
173	162	769
174	162	766
175	163	764
176	163	762
177	164	759
178	165	757
179	165	754
180	166	752
181	166	750
182	167	748
183	168	745
184	168	744
185	170	744
186	171	744
187	172	743
188	172	742
189	173	739
190	174	737
191	174	735
192	175	733
193	175	730
